"Date","Persian_Date","Open","Low","High","Close"
"12/01/2011","1390/09/10","13,500","13,500","13,500","13,500"
"12/03/2011","1390/09/12","13,650","13,650","13,650","13,650"
"12/04/2011","1390/09/13","13,610","13,610","13,610","13,610"
"12/07/2011","1390/09/16","13,650","13,650","13,650","13,650"
"12/08/2011","1390/09/17","13,550","13,550","13,550","13,550"
"12/10/2011","1390/09/19","13,450","13,450","13,450","13,450"
"12/11/2011","1390/09/20","13,450","13,450","13,450","13,450"
"27/11/2011","1390/09/06","13,700","13,700","13,700","13,700"
"28/11/2011","1390/09/07","13,440","13,440","13,440","13,440"
"29/11/2011","1390/09/08","13,350","13,350","13,350","13,350"
"30/11/2011","1390/09/09","13,400","13,400","13,400","13,400"
"12/12/2011","1390/09/21","13,530","13,530","13,530","13,530"
"13/12/2011","1390/09/22","13,630","13,630","13,630","13,630"
"14/12/2011","1390/09/23","13,770","13,770","13,770","13,770"
"15/12/2011","1390/09/24","13,710","13,710","13,710","13,710"
"17/12/2011","1390/09/26","13,840","13,840","13,840","13,840"
"18/12/2011","1390/09/27","14,080","14,080","14,080","14,080"
"19/12/2011","1390/09/28","14,500","14,500","14,500","14,500"
"20/12/2011","1390/09/29","15,300","15,300","15,300","15,300"
"21/12/2011","1390/09/30","15,150","15,150","15,150","15,150"
"22/12/2011","1390/10/01","14,230","14,230","14,230","14,230"
"24/12/2011","1390/10/03","14,350","14,350","14,350","14,350"
"25/12/2011","1390/10/04","14,800","14,800","14,800","14,800"
"26/12/2011","1390/10/05","15,250","15,250","15,250","15,250"
"27/12/2011","1390/10/06","15,150","15,150","15,150","15,150"
"28/12/2011","1390/10/07","15,200","15,200","15,200","15,200"
"29/12/2011","1390/10/08","15,220","15,220","15,220","15,220"
"31/12/2011","1390/10/10","15,550","15,550","15,550","15,550"
"01/01/2012","1390/10/11","15,900","15,900","15,900","15,900"
"02/01/2012","1390/11/12","18,300","18,300","18,300","18,300"
"03/01/2012","1390/12/11","19,250","19,250","19,250","19,250"
"05/01/2012","1391/02/12","17,100","17,100","17,100","17,100"
"07/01/2012","1391/04/11","19,890","19,520","19,890","19,530"
"08/01/2012","1391/05/11","19,820","19,800","20,080","20,070"
"09/01/2012","1391/06/11","21,850","21,770","21,850","21,800"
"10/01/2012","1391/07/10","29,680","29,680","34,700","34,700"
"11/01/2012","1391/08/11","32,900","32,900","32,900","32,900"
"12/01/2012","1391/09/11","29,500","29,500","29,500","29,500"
"16/01/2012","1390/10/26","16,900","16,900","16,900","16,900"
"17/01/2012","1390/10/27","17,400","17,400","17,400","17,400"
"18/01/2012","1390/10/28","18,200","18,200","18,200","18,200"
"19/01/2012","1390/10/29","18,200","18,200","18,200","18,200"
"21/01/2012","1390/11/01","19,000","19,000","19,000","19,000"
"23/01/2012","1390/11/03","21,000","21,000","21,000","21,000"
"25/01/2012","1390/11/05","19,000","19,000","19,000","19,000"
"26/01/2012","1390/11/06","17,000","17,000","17,000","17,000"
"28/01/2012","1390/11/08","17,700","17,700","17,700","17,700"
"29/01/2012","1390/11/09","18,300","18,300","18,300","18,300"
"30/01/2012","1390/11/10","18,300","18,300","18,300","18,300"
"01/02/2012","1390/10/12","17,400","17,400","17,400","17,400"
"04/02/2012","1391/01/14","19,120","19,120","19,120","19,120"
"05/02/2012","1391/02/13","17,090","17,090","17,090","17,090"
"06/02/2012","1391/03/13","17,770","17,770","17,770","17,770"
"07/02/2012","1391/04/12","19,460","19,280","19,560","19,430"
"08/02/2012","1391/05/12","20,080","20,080","20,250","20,190"
"09/02/2012","1391/06/12","21,780","21,590","21,780","21,590"
"10/02/2012","1391/07/11","33,300","33,300","36,100","36,100"
"11/02/2012","1391/08/12","32,900","32,900","32,900","32,900"
"12/02/2012","1391/09/12","29,300","29,300","29,300","29,300"
"13/02/2012","1390/11/24","19,000","19,000","19,000","19,000"
"14/02/2012","1390/11/25","19,350","19,350","19,350","19,350"
"15/02/2012","1390/11/26","19,500","19,500","19,500","19,500"
"16/02/2012","1390/11/27","19,600","19,600","19,600","19,600"
"18/02/2012","1390/11/29","19,400","19,400","19,400","19,400"
"19/02/2012","1390/11/30","19,200","19,200","19,200","19,200"
"20/02/2012","1390/12/01","19,400","19,400","19,400","19,400"
"21/02/2012","1390/12/02","19,450","19,450","19,450","19,450"
"22/02/2012","1390/12/03","19,350","19,350","19,350","19,350"
"23/02/2012","1390/12/04","19,350","19,350","19,350","19,350"
"26/02/2012","1390/12/07","19,300","19,300","19,300","19,300"
"27/02/2012","1390/12/08","18,700","18,700","18,700","18,700"
"28/02/2012","1390/12/09","18,500","18,500","18,500","18,500"
"29/02/2012","1390/12/10","19,200","19,200","19,200","19,200"
"01/03/2012","1390/10/13","16,200","16,200","16,200","16,200"
"03/03/2012","1390/12/13","19,250","19,250","19,250","19,250"
"04/03/2012","1391/01/15","19,000","19,000","19,000","19,000"
"05/03/2012","1391/02/14","17,050","17,050","17,050","17,050"
"07/03/2012","1391/04/13","19,410","19,400","19,760","19,760"
"09/03/2012","1391/06/13","21,500","21,330","21,730","21,730"
"10/03/2012","1391/07/12","35,700","30,000","36,300","34,000"
"11/03/2012","1391/08/13","32,900","32,900","32,900","32,900"
"12/03/2012","1391/09/13","29,300","29,300","29,300","29,300"
"13/03/2012","1390/12/23","18,800","18,800","18,800","18,800"
"14/03/2012","1390/12/24","18,600","18,600","18,600","18,600"
"15/03/2012","1390/12/25","18,500","18,500","18,500","18,500"
"17/03/2012","1390/12/27","19,250","19,250","19,250","19,250"
"18/03/2012","1390/12/28","19,150","19,150","19,150","19,150"
"25/03/2012","1391/01/06","18,900","18,900","18,900","18,900"
"26/03/2012","1391/01/07","19,000","19,000","19,000","19,000"
"28/03/2012","1391/01/09","19,200","19,200","19,200","19,200"
"29/03/2012","1391/01/10","19,200","19,200","19,200","19,200"
"01/04/2012","1390/10/14","15,800","15,800","15,800","15,800"
"02/04/2012","1390/11/15","17,750","17,750","17,750","17,750"
"03/04/2012","1390/12/14","19,000","19,000","19,000","19,000"
"04/04/2012","1391/01/16","18,950","18,950","18,950","18,950"
"07/04/2012","1391/04/14","19,800","19,610","19,830","19,680"
"08/04/2012","1391/05/14","20,070","20,020","20,170","20,080"
"09/04/2012","1391/06/14","21,820","21,750","21,910","21,820"
"10/04/2012","1391/07/13","31,000","29,600","32,000","30,000"
"11/04/2012","1391/08/14","31,000","29,500","31,000","29,500"
"12/04/2012","1391/09/14","29,100","29,100","29,100","29,100"
"14/04/2012","1391/01/26","18,800","18,800","18,800","18,800"
"15/04/2012","1391/01/27","17,300","17,300","17,300","17,300"
"16/04/2012","1391/01/28","17,800","17,800","17,800","17,800"
"17/04/2012","1391/01/29","18,000","18,000","18,000","18,000"
"18/04/2012","1391/01/30","18,240","18,240","18,240","18,240"
"19/04/2012","1391/01/31","18,180","18,180","18,180","18,180"
"21/04/2012","1391/02/02","18,030","18,030","18,030","18,030"
"22/04/2012","1391/02/03","17,950","17,950","17,950","17,950"
"23/04/2012","1391/02/04","17,790","17,790","17,790","17,790"
